commit	val_bpb	size_bytes	size_ok	status	param_changes	description
2397c5b	1.29656339	15056094	yes	keep	baseline	baseline HEAD run with standard eval, no EMA, default 2000-step runner
88ae44b	0.00000000	0	n/a	crash	EVAL_STRIDE=64	sliding evaluation exceeded 15-minute total timeout before final metrics
3de950f	1.30088756	14950024	yes	discard	EMA_ENABLED=1	enable EMA by default; worse post-quant bpb despite slightly smaller artifact
9d098c5	0.00000000	0	n/a	crash	INT8_CLIP_PERCENTILE=99.999	run timed out under heavy machine contention before final metrics
2397c5b	1.21803700	15900224	yes	keep	baseline	full 20000-step baseline rerun on promoted HEAD with standard evaluation
2397c5b	1.70763809	15910096	yes	discard	TTT_ENABLE=1 TTT_SCOPE=document TTT_STEPS=1 TTT_PREFIX_TOKENS=128	document-scope self-learning rerun to verify real adaptation and post-quant gain
2397c5b	1.83743383	15901554	yes	discard	TTT_ENABLE=1 TTT_SCOPE=sequence TTT_STEPS=1 TTT_PREFIX_TOKENS=128	sequence-scope self-learning rerun to compare against document-scope adaptation
2397c5b	1.70855981	15901930	yes	discard	TTT_ENABLE=1 TTT_SCOPE=document TTT_STEPS=2 TTT_PREFIX_TOKENS=128	document-scope self-learning rerun with two online updates per adapted window
2397c5b	1.70814995	15901472	yes	discard	TTT_ENABLE=1 TTT_SCOPE=document TTT_LR=0.003 TTT_PREFIX_TOKENS=128	document-scope self-learning rerun with lower adaptation learning rate
2397c5b	1.70634470	15909750	yes	discard	TTT_ENABLE=1 TTT_SCOPE=document TTT_LR=0.03 TTT_PREFIX_TOKENS=128	document-scope self-learning rerun with higher adaptation learning rate
2397c5b	1.71203171	15905636	yes	discard	TTT_ENABLE=1 TTT_SCOPE=document TTT_PARAM_PATTERNS=attn_scale,mlp_scale,resid_mix,q_gain,skip_weight	document-scope self-learning rerun with a wider matched parameter set for adaptation
2397c5b	1.18390334	15903423	yes	keep	EVAL_STRIDE=64	baseline rerun with sliding evaluation stride 64 to assess standalone utility
2397c5b	1.21728762	15904076	yes	discard	EMA_ENABLED=1	baseline rerun with EMA enabled to test compatibility with the self-learning path
becf14a	1.21845211	15912416	yes	discard	INT8_CLIP_PERCENTILE=99.999	baseline rerun with a lower int8 clip percentile using a dedicated candidate branch
b8213cd	1.72277661	15910822	yes	discard	TTT_ENABLE=1 TTT_MODE=lora TTT_SCOPE=document TTT_LORA_RANK=8 TTT_CHUNK_SIZE=64	LoRA-style document-scope TTT candidate branch; adaptation activated but severely regressed post-quant performance
b8213cd	1.77722979	15917863	yes	discard	TTT_ENABLE=1 TTT_MODE=lora TTT_SCOPE=document TTT_LORA_RANK=8 TTT_CHUNK_SIZE=256 TTT_BATCH_SIZE=64	LoRA-style document-scope TTT with public-style chunking/batching cut optimizer steps sharply, but post-quant performance regressed further
b8213cd	1.81628458	15919540	yes	discard	TTT_ENABLE=1 TTT_MODE=lora TTT_SCOPE=document TTT_LORA_RANK=1 TTT_CHUNK_SIZE=256 TTT_BATCH_SIZE=64	LoRA-style document-scope TTT capacity sweep with rank-1 adapters; adaptation remained active but regressed further than the rank-8 chunk256 baseline
ce5d51f	1.86828015	15909996	yes	discard	TTT_PROTOCOL=score_first TTT_SCOPE=document TTT_LR=0.003 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=256 TTT_EPOCHS=1	first score-first chunked control-parameter TTT on the promoted baseline; adaptation was real but massively regressed bpb and made eval extremely slow
ce5d51f	1.87865378	15914942	yes	discard	TTT_PROTOCOL=score_first TTT_SCOPE=document TTT_LR=0.003 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=256 TTT_EPOCHS=0	score-first control-parameter protocol ablation with no updates; adapted_docs=0/update_steps=0 yet post-quant regressed further, showing the chunked evaluator itself is harmful
a179b1b	1.18401344	15912292	yes	discard	EVAL_STRIDE=64 TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=0 TTT_CHUNK_TOKENS=32768 TTT_LR=0.002 TTT_MOMENTUM=0.9	Global score-first no-update ablation on a stride64-preserving harness; stride stayed active and matched baseline timing, but post-quant bpb was worse by 0.00011 so the branch stays archived
